        RA       DEC                     NAME      S1400    e_S1400    P1400  POLANG   e_P1400  e_POLANG       S74        e_S74     3CNAME         S600      P600      BETA     GAMMA
 299.88362  40.72997                 CYGNUS_A  1605.7735  40.671599  2.41593    50.2  0.106708       0.0  16611.68  1667.590000     3C_405  3613.567711  0.457910 -0.888608 -0.085651
 350.85658  58.83928             CASSIOPEIA_A  1767.8760  26.410249  5.62293   -75.6  0.098041       0.0  18842.05  1334.050712   3C_461.0  2375.563418  1.043381 -0.775882  0.073726
  83.61679  22.03403                      M_1   887.8423  13.943689  4.91882    71.1  0.111831       0.0   1888.55   188.540000     3C_144  1142.621198  2.874298 -0.242263 -0.001170
 187.70608  12.38933                     M_87   147.0479   4.860562  1.81558    -0.6  0.025236       0.0   1567.37    89.051934   3C_274.0   436.338553  0.336876 -0.811899 -0.035656
 252.79875   4.98861                    HER_A    46.6135   0.908627  1.14107    43.6  0.002504       0.0   1076.32    75.063179     3C_348   120.352428  0.122123 -1.052856 -0.045649
 260.14362  -0.97900                   3C_353    55.5160   1.179413  1.82420   -49.2  0.008856       0.0    455.26    45.600000   3C_353.0   106.512561  0.407927 -0.720365 -0.025560
 139.52408 -12.09481                  HYDRA_A    40.8499   1.278800  0.01643     8.1  0.001340       0.9    579.59    58.050000     3C_218    96.976365  0.002487 -0.839342 -0.057817
  69.26904  29.67061                    PER_B    49.7285   1.684100  0.07699   -80.5  0.000660       0.1    454.97    46.760000     3C_123    87.455842  0.015926 -0.721306  0.019997
   6.40142  64.17856                   3C_10C    25.9311   0.317754  0.20349    68.7  0.075088       1.8    317.66    16.236792    3C__10C    71.500775  0.034197 -0.589441  0.005817
 187.27671   2.05142                  3C_273C    54.9912   1.900300  0.57594   -33.3  0.000560       0.0    149.96    15.000000    3C_273C    54.976965  0.282001 -0.288965  0.099464
  49.95067  41.51169                    3C_84    22.8292   0.684900  0.02805   -73.1  0.000460       0.3    138.40    14.030000     3C__84    38.373723  0.007777 -0.612928  0.000000
 212.83596  52.20250                   3C_295    22.7201   0.681600  0.05771    34.4  0.000400       0.1    120.27    12.030000   3C_295.0    36.726549  0.017623 -0.566802  0.000000
  31.32138  64.82967          SNR_G130.7+03.1    31.6060   0.481883  1.40795    37.2  0.051093       0.3     28.70     2.870000     3C__58    30.739608  1.508008  0.032804  0.000000
  96.79192  -5.88503                   2C_553    18.4861   0.645900  0.93934    41.4  0.000540       0.0     99.73    10.090000     3C_161    30.046086  0.282999 -0.573250  0.000000
  85.65062  49.85214    ICRF_J054236.1+495107    22.8796   0.686400  0.02072   -67.1  0.000430       0.4     54.99     5.500000     3C_147    29.457629  0.011100 -0.298251  0.000000
  64.58733  38.03017                   3C_111    14.9615   0.302414  0.61389   -13.8  0.012762       0.2    144.36    10.293420     3C_111    28.752845  0.122271 -0.770988  0.000000
 123.40029  48.21719                   3C_196    15.0100   0.450300  0.00817   -57.7  0.000390       1.0    136.40    13.880000     3C_196    28.351936  0.001698 -0.750596  0.000000
 303.61492  23.58136                   3C_409    13.6844   0.473000  0.01287    54.9  0.000540       0.8    153.68    15.620000   3C_409.0    27.474403  0.002301 -0.822613  0.000000
 277.38250  48.74631                  2C_1569    13.7525   0.412600  0.06223    44.2  0.000410       0.1    125.78    12.800000     3C_380    26.024926  0.012876 -0.752786  0.000000
 262.67804 -21.47289              Kepler's_SN    15.3955   0.274656  0.16506    74.2  0.023736       0.5     90.97     9.090000     3C_358    25.687771  0.046609 -0.604203  0.000000
  24.42196  33.15989                    3C_48    16.0177   0.480500  0.07080   -74.0  0.000460       0.1     71.02     7.100000     3C__48    24.603097  0.024527 -0.506525  0.000000
  17.21067  13.30872                   3C_33S    12.8783   0.305592  0.98329    66.1  0.003651       0.0     96.53     7.335973    3C__33S    23.012301  0.234412 -0.685102  0.000000
  76.17204  38.12031                   3C_134     9.3675   0.191889  0.41406   -23.8  0.002715       1.6    192.26    19.320000     3C_134    22.376550  0.048191 -1.027699  0.000000
 320.93579  25.06967  2MASX_J21234458+2504272    11.4884   0.361975  0.45073   -33.6  0.000796       0.0    112.59    11.430000   3C_433.0    22.177664  0.088784 -0.776289  0.000000
 341.45537  39.68947                   3C_452    10.5566   0.200386  0.05975    67.1  0.008418       3.4    131.43     9.494130   3C_452.0    21.833883  0.009926 -0.857682  0.000000
 333.60850 -17.03900  2MASX_J22142575-1701362     8.9135   0.230196  0.19768    -1.4  0.001111       0.1    164.15    16.620000     3C_444    20.637271  0.024853 -0.990834  0.000000
 280.61221  79.75481    ICRF_J184208.9+794617    11.5559   0.280571  0.89421   -11.3  0.005078       0.0     85.48     5.200058   3C_390.3    20.570756  0.215192 -0.680604  0.000000
  10.78662  52.05956                    3C_20    11.5340   0.373700  0.20226   -63.7  0.000830       0.1     73.89     7.510000   3C__20.0    19.698270  0.053920 -0.631692  0.000000
  59.74046  10.45497                   2C_349    10.5670   0.243089  0.43416    89.0  0.005074       0.1     88.05     6.515773     3C__98    19.467133  0.095989 -0.721106  0.000000
 184.89612   5.83094                 NGC_4261    10.2588   0.193322  1.09256   -20.9  0.022893       0.3     85.19     6.057805   3C_270.0    18.880728  0.242145 -0.719943  0.000000
 286.90004   7.14383                  3C_397W    12.0546   0.191754  0.01457    64.6  0.022907      16.0     55.67     4.046987    3C_397W    18.734398  0.004903 -0.520378  0.000000
 316.85792 -25.42103            210725-252515    10.0078   0.166674  0.23158    46.6  0.010087       0.3     82.52     4.679605       NONE    18.381276  0.051584 -0.717537  0.000000
 202.78462  30.50900                   3C_286    14.9027   0.447100  0.99990    35.0  0.000470       0.0     30.26     3.080000     3C_286    18.277234  0.603946 -0.240900  0.000000
 240.63262   1.96339                   3C_327     8.1001   0.213035  0.74875    18.1  0.002914       0.0    114.12     9.222158   3C_327.0    17.360925  0.113906 -0.899737  0.000000
 226.24346  26.02581                   VV_204     7.6134   0.145393  0.17267   -44.7  0.024939       0.5    129.86    12.950000     3C_310    17.241992  0.022926 -0.964759  0.000000
 305.02712  29.70361                   3C_410     9.2708   0.244415  0.06079   -66.7  0.001080       0.5     69.49     7.090000     3C_410    16.566055  0.014492 -0.685103  0.000000
 140.29992  45.66550                   3C_219     8.1016   0.163904  0.36107    11.9  0.002206       0.3     77.43     5.587074   3C_219.0    15.526921  0.072405 -0.767751  0.000000
 146.94696   7.42050  2MASX_J09474514+0725204     7.6170   0.148351  0.80159    77.9  0.003036       0.1     78.18     5.752113     3C_227    14.901308  0.152785 -0.792008  0.000000
 319.57779  60.80386                   3C_430     7.8026   0.241200  0.07105   -80.2  0.001950       0.3     72.14     7.280000   3C_430.0    14.811656  0.014588 -0.756472  0.000000
 282.32508  -0.91597          SNR_G031.9+00.0    10.1678   0.191273  0.03261    63.0  0.024354       3.0     30.91     3.370000     3C_391    14.008168  0.014779 -0.378161  0.000000
 328.96737  38.00811  2MASX_J21555232+3800285     6.8536   0.155936  0.04126   -83.0  0.000764       0.5     81.56     8.160000     3C_438    13.991809  0.007078 -0.842322  0.000000
 214.78408   6.47675                 3C_298.0     6.1003   0.183000  0.01538    15.6  0.000440       0.6     99.61     9.960000     3C_298    13.642702  0.002106 -0.949922  0.000000
 194.04646  -5.78892                3C_279C15     9.7112   0.291300  0.24948   -24.1  0.000450       0.0     30.63     3.060000  3C_279C15    13.521932  0.110136 -0.390693  0.000000
 229.18575   7.02169                 UGC_9799     5.4993   0.209100  0.00853   -76.5  0.000640       1.2    121.65    12.440000     3C_317    13.423139  0.000941 -1.053182  0.000000
  71.16071 -28.17022            044438-281012     6.7371   0.156311  0.29410    83.8  0.001085       0.1     69.48     7.000000       NONE    13.198101  0.055866 -0.793633  0.000000
 193.65933 -12.55578                   3C_278     7.1249   0.173515  0.36637    -5.6  0.007508       0.1     56.83     5.680000     3C_278    12.961634  0.083561 -0.706243  0.000000
  51.83021  55.34139                   3C_86B     8.1422   0.240092  0.07195   -71.0  0.000872       0.2     40.14     4.090000    3C__86B    12.894472  0.023113 -0.542593  0.000000
  13.99471  68.37189                    3C_27     7.2358   0.237800  0.27332   -47.7  0.000800       0.0     49.11     4.980000   3C__27.0    12.564974  0.069930 -0.651332  0.000000
  35.84021  42.99219                 UGC_1841     7.0123   0.131212  0.15994    15.7  0.011116       0.5     52.30     3.101919    3C__66B    12.512347  0.038264 -0.683408  0.000000
 242.41250  65.94781                 3C_330G2     6.9075   0.164356  0.25526    -8.2  0.000661       0.0     53.01     5.360000     3C_330    12.427146  0.059841 -0.693116  0.000000
 280.35183  -1.88194            184124-015255     5.8658   0.133311  0.01226   -40.9  0.007278       4.8     79.26     5.673667       NONE    12.421694  0.001921 -0.885528  0.000000
 135.44837 -25.92206            090147-255519     6.2527   0.200400  0.10395    42.1  0.000990       0.1     62.40     6.330000       NONE    12.133714  0.020213 -0.782457  0.000000
 343.49042  16.14817                 3C_454.3    12.6568   0.379700  0.67108    60.4  0.000420       0.0     10.91     1.130000   3C_454.3    12.126529  0.745909  0.050512  0.000000
 279.60846  17.21139                 3C_386.0     7.3257   0.163377  0.33844    22.0  0.020475       0.3     39.16     3.900000   3C_386.0    11.875250  0.102632 -0.570127  0.000000
 224.78179  71.67219    ICRF_J145907.5+714019     7.4684   0.224100  0.09113    39.9  0.000440       0.1     36.70     3.670000   3C_309.1    11.816443  0.029341 -0.541499  0.000000
 150.44471  28.78236  2MASX_J10014950+2847089     5.5970   0.137794  0.33691   -66.9  0.001337       0.1     70.88     7.120000   3C_234.0    11.633065  0.055295 -0.863475  0.000000
  35.70142  86.31425                  3C_61.1     5.4782   0.132735  0.54900    42.9  0.002764       0.0     71.75     7.190000   3C__61.1    11.497110  0.087971 -0.874921  0.000000
  47.10942   4.11189                 NGC_1218     7.5688   0.195840  1.29271   -72.0  0.032272       0.1     31.35     3.170000   3C__78.0    11.399745  0.470066 -0.483368  0.000000
 281.62033  -2.98311          IRAS_18430-0310     5.9634   0.136360  0.01825   -65.4  0.006831       3.3     55.96     5.640000     3C_389    11.368839  0.003708 -0.761521  0.000000
   9.58504  -2.12789                    3C_17     6.1878   0.239100  0.01260     6.7  0.000580       0.8     47.44     4.870000     3C__17    11.129183  0.002956 -0.692780  0.000000
  68.15171  41.64142                   2C_396     9.8317   0.295000  0.01616    49.9  0.000500       0.6     14.59     1.460000   3C_119.0    11.016166  0.012202 -0.134253  0.000000
 354.59342  27.04272                 NGC_7720     5.2050   0.117628  0.11164   -51.8  0.005785       0.5     69.54     3.605149   3C_465.0    10.986478  0.017638 -0.881680  0.000000
 152.00017   7.50450                 3C_237.0     6.5221   0.195700  0.00841    24.5  0.000440       1.0     37.79     3.850000     3C_237    10.820971  0.002408 -0.597534  0.000000
 336.44700  -4.95053                   3C_446     7.4106   0.261600  0.33051   -64.0  0.000530       0.0     25.64     2.570000     3C_446    10.597450  0.136605 -0.422168  0.000000
  62.01883  42.99917                   3C_103     5.0251   0.125454  0.13860   -53.4  0.000858       0.1     64.21     6.480000   3C_103.0    10.471393  0.022603 -0.866521  0.000000
  57.91437 -27.73456            035139-274404     5.3402   0.104986  0.53593   -73.8  0.006556       0.2     54.35     4.282289       NONE    10.421745  0.102766 -0.789134  0.000000
  75.74396  25.27347                   3C_133     5.7702   0.203100  0.10569   -73.2  0.000530       0.1     44.67     4.550000   3C_133.0    10.407179  0.024624 -0.696082  0.000000
