#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
deg|deg| |"h:m:s"|"d:m:s"|s|arcsec|mJy|mJy|mJy|deg|mJy|deg
---------|---------|--------------|-----------|-----------|-----|----|--------|-------|------|-----|-----|----
351.66975|+82.53283|232640+823158 |23 26 40.74|+82 31 58.2| 0.23| 0.6|  1000.2|   31.7| 65.95|  7.6| 0.98| 0.2
235.28617|+61.03317|154108+610159 |15 41 08.68|+61 01 59.4| 0.06| 0.6|  1000.6|   32.2| 32.70| -0.6| 0.78| 0.3
289.35404|+11.95186|191724+115706 |19 17 24.97|+11 57 06.7| 0.04| 0.6|  1000.6|   30.6|  7.22|-21.6|22.47| 9.4
271.17417|+10.00181|180441+100006 |18 04 41.80|+10 00 06.5| 0.03| 0.6|  1000.7|   34.4| 17.25| 23.8| 0.59| 0.6
311.45558|+32.56389|204549+323350 |20 45 49.34|+32 33 50.0| 0.04| 0.6|  1000.7|   30.0|  5.76|-82.3| 0.53| 1.8
260.25083|-36.06486|172100-360353 |17 21 00.20|-36 03 53.5| 0.04| 0.6|  1001.0|   31.9|  2.44|-15.3| 4.01|11.5
147.32262|+73.23383|094917+731401 |09 49 17.43|+73 14 01.8| 0.12| 0.6|  1001.0|   30.5|101.59| 23.8|33.16| 0.7
230.45487|-29.71231|152149-294244 |15 21 49.17|-29 42 44.3| 0.03| 0.6|  1001.3|   35.1| 17.80|-19.9| 0.57| 0.6
294.31779|-39.96706|193716-395801 |19 37 16.27|-39 58 01.4| 0.04| 0.6|  1001.6|   35.3| 27.70|-50.1| 0.54| 0.4
276.84408| +9.31214|182722+091843 |18 27 22.58|+09 18 43.7| 0.03| 0.6|  1002.5|   30.1|  4.09| 46.0| 0.56| 2.7
021.67825|+25.98350|012642+255900 |01 26 42.78|+25 59 00.6| 0.03| 0.6|  1002.5|   30.1|  3.85|-55.8| 0.42| 2.1
278.88087| -7.55606|183531-073321 |18 35 31.41|-07 33 21.8| 0.03| 0.6|  1002.9|   31.3|  6.28|  8.4| 7.81| 6.4
174.01275|-17.55364|113603-173313 |11 36 03.06|-17 33 13.1| 0.03| 0.6|  1002.9|   30.1| 10.47|-56.8| 0.44| 0.8
218.57167| +6.36933|143417+062209 |14 34 17.20|+06 22 09.6| 0.03| 0.6|  1003.0|   34.9| 48.43|-21.5| 0.53| 0.2
217.51392| +7.25036|143003+071501 |14 30 03.34|+07 15 01.3| 0.03| 0.6|  1004.0|   30.9|159.34|-16.2| 9.93| 0.3
340.97837|+18.24608|224354+181445 |22 43 54.81|+18 14 45.9| 0.03| 0.6|  1004.4|   30.1| 18.63|-21.1| 0.44| 0.5
002.46321|+12.72600|000951+124333 |00 09 51.17|+12 43 33.6| 0.03| 0.6|  1004.8|   31.9| 64.16|-47.1| 3.37| 0.4
139.20387|+38.90792|091648+385428 |09 16 48.93|+38 54 28.5| 0.04| 0.6|  1004.9|   30.1| 11.98| 43.6| 0.46| 0.7
103.21537|+60.63214|065251+603755 |06 52 51.69|+60 37 55.7| 0.06| 0.6|  1006.6|   30.2|  6.67| 68.8| 0.43| 1.2
310.91971|-26.51961|204340-263110 |20 43 40.73|-26 31 10.6| 0.03| 0.6|  1006.7|   31.1|  4.55|-62.4| 7.40| 7.9
305.60592|+39.23886|202225+391419 |20 22 25.42|+39 14 19.9| 0.04| 0.6|  1006.8|   36.6|  4.33| 68.5| 1.12| 3.7
015.01642|+66.84878|010003+665055 |01 00 03.94|+66 50 55.6| 0.08| 0.6|  1008.1|   30.2| 32.78|  0.0| 0.52| 0.3
186.60667| +9.66825|122625+094005 |12 26 25.60|+09 40 05.7| 0.03| 0.6|  1008.3|   30.3| 10.39| 42.6| 0.46| 0.9
004.74825|-10.38167|001859-102254 |00 18 59.58|-10 22 54.0| 0.03| 0.6|  1008.5|   32.1| 62.45| 83.7| 0.96| 0.2
118.94150| +2.17819|075545+021041 |07 55 45.96|+02 10 41.5| 0.03| 0.6|  1008.5|   31.6| 44.47|-33.7| 1.19| 0.3
065.20537|+25.44094|042049+252627 |04 20 49.29|+25 26 27.4| 0.03| 0.6|  1009.2|   30.3| 12.33|-28.2| 0.44| 0.7
281.29650|+40.13103|184511+400751 |18 45 11.16|+40 07 51.7| 0.04| 0.6|  1009.5|   35.7|  2.60| 55.0| 0.48| 3.5
318.37292|+40.21431|211329+401251 |21 13 29.50|+40 12 51.5| 0.04| 0.6|  1009.5|   30.3|  2.15| 69.7| 0.52| 4.7
183.81121|+17.50061|121514+173002 |12 15 14.69|+17 30 02.2| 0.03| 0.6|  1010.2|   30.3|  0.98| 84.9| 0.47| 9.0
236.45842|+64.91858|154550+645506 |15 45 50.02|+64 55 06.9| 0.07| 0.6|  1010.3|   35.7| 30.18| 51.7| 0.45| 0.3
354.20121|-34.73536|233648-344407 |23 36 48.29|-34 44 07.3| 0.04| 0.6|  1010.3|   32.6| 26.11|-41.4| 0.93| 0.5
030.03187|+21.95006|020007+215700 |02 00 07.65|+21 57 00.2| 0.03| 0.6|  1010.4|   30.3|  4.37|-73.9| 0.43| 1.9
080.58329|-12.15281|052219-120910 |05 22 19.99|-12 09 10.1| 0.03| 0.6|  1010.4|   30.3|  4.64|  2.4| 0.47| 1.9
114.26733|+36.05564|073704+360320 |07 37 04.16|+36 03 20.3| 0.04| 0.6|  1010.5|   30.3| 59.18|-15.4| 0.44| 0.1
057.86646|-14.46942|035127-142809 |03 51 27.95|-14 28 09.9| 0.03| 0.6|  1010.6|   38.5| 56.36| 41.8| 0.58| 0.2
308.19254|+53.76472|203246+534553 |20 32 46.21|+53 45 53.0| 0.05| 0.6|  1011.0|   33.7| -0.20|     | 0.71|
303.97367|+37.19172|201553+371130 |20 15 53.68|+37 11 30.2| 0.04| 0.6|  1011.2|   30.9|  9.71| 23.3|27.97| 8.0
317.40025|+50.23408|210936+501402 |21 09 36.06|+50 14 02.7| 0.05| 0.6|  1011.7|   31.0| -0.42|     |16.65|
017.14179|+69.37606|010834+692233 |01 08 34.03|+69 22 33.8| 0.09| 0.6|  1011.9|   31.6| 69.02| 11.7| 1.42| 0.2
143.19096|-20.29794|093245-201752 |09 32 45.83|-20 17 52.6| 0.03| 0.6|  1012.0|   35.1| 24.29| -8.1| 0.53| 0.4
