#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:03:14 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b42ba3871	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/79A&tab:{VIII/79A/catalog}&key:source=VIII/79A/catalog&HTTPPRM:&-ref=VIZ524b42ba3871&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&Si=> 10&-ignore=SPECFIND=*&SPECFIND=SPECFIND&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/79A/catalog
#-order=I
#-out=VLSS
#-out=RAJ2000
#-out=e_RAJ2000
#-out=DEJ2000
#-out=e_DEJ2000
#-out=Si
#-sort=Si
#Si=> 10
#-out=e_Si
#SPECFIND=SPECFIND
#

#RESOURCE=yCat_8079
#Name: VIII/79A
#Title: The VLA Low-frequency Sky Survey at 74MHz (Cohen+ 2007)
#Table	VIII_79A_catalog:
#Name: VIII/79A/catalog
#Title: The VLSS Catalog, Version 2007-06-26
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	VLSS	(a12)	VLSS name {\em(Name derived from truncated J2000 position; a suffix {\bf A} or {\bf B} was added in case of name collision)}	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	Mean error on Declination	[ucd=stat.error;pos.eq.dec]
#Column	Si	(F8.2)	Integrated flux density at 74MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	e_Si	(F7.2)	? Mean error on Si (1)	[ucd=stat.error]
_RAJ2000|_DEJ2000|VLSS|RAJ2000|e_RAJ2000|DEJ2000|e_DEJ2000|Si|e_Si
deg|deg| |"h:m:s"|s|"d:m:s"|arcsec|Jy|Jy
---------|---------|------------|-----------|-----|-----------|----|--------|-------
134.61025|+65.67478|0858.4+6540 |08 58 26.46| 0.48|+65 40 29.2| 3.1|   10.01|   1.03
152.52146| -7.50442|1010.0-0730 |10 10 05.15| 0.20|-07 30 15.9| 3.1|   10.01|   1.04
203.34946|-14.60561|1333.3-1436 |13 33 23.87| 0.20|-14 36 20.2| 3.1|   10.01|   1.03
276.78358| +2.24556|1827.1+0214 |18 27 08.06| 0.23|+02 14 44.0| 3.4|   10.01|   1.07
014.37446| +9.29892|0057.4+0917 |00 57 29.87| 0.20|+09 17 56.1| 3.1|   10.02|   1.03
256.57396|+16.97906|1706.2+1658 |17 06 17.75| 0.20|+16 58 44.6| 3.1|   10.03|   1.01
197.95725|+32.46361|1311.8+3227 |13 11 49.74| 0.23|+32 27 49.0| 3.1|   10.04|   1.04
194.84092|-33.41247|1259.3-3324 |12 59 21.82| 0.23|-33 24 44.9| 3.1|   10.05|   1.05
335.02071|+13.12083|2220.0+1307 |22 20 04.97| 0.20|+13 07 15.0| 3.1|   10.05|   1.03
102.96300|-34.46742|0651.8-3428 |06 51 51.12| 0.26|-34 28 02.7| 4.4|   10.06|   1.15
205.39046|+53.74472|1341.5+5344 |13 41 33.71| 0.34|+53 44 41.0| 3.1|   10.07|   1.04
039.62846|+10.16942|0238.5+1010 |02 38 30.83| 0.20|+10 10 09.9| 3.1|   10.08|   1.01
262.64079| -4.37694|1730.5-0422 |17 30 33.79| 0.20|-04 22 37.0| 3.2|   10.08|   1.05
146.30683|+16.92275|0945.2+1655 |09 45 13.64| 0.20|+16 55 21.9| 3.1|   10.09|   1.03
006.55867|-20.08206|0026.2-2004 |00 26 14.08| 0.21|-20 04 55.4| 3.1|   10.10|   1.04
035.50696| +8.44486|0222.0+0826 |02 22 01.67| 0.20|+08 26 41.5| 3.1|   10.10|   1.04
056.78696|-11.12011|0347.1-1107 |03 47 08.87| 0.20|-11 07 12.4| 3.1|   10.10|   1.04
086.57337|-17.43108|0546.2-1725 |05 46 17.61| 0.20|-17 25 51.9| 3.1|   10.10|   1.04
107.15354|-29.11794|0708.6-2907 |07 08 36.85| 0.23|-29 07 04.6| 3.2|   10.11|   1.05
289.43229|+27.56481|1917.7+2733 |19 17 43.75| 0.23|+27 33 53.3| 3.6|   10.11|   1.07
316.81033|+23.52833|2107.2+2331 |21 07 14.48| 0.22|+23 31 42.0| 3.1|   10.11|   1.05
132.65379|-34.87111|0850.6-3452 |08 50 36.91| 0.26|-34 52 16.0| 3.9|   10.12|   1.13
